Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Precipitation amount (mm),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2022,6,1,00:00,UTC,8,1015,0.1,94,0,-1,9.2,8.2,17350,193,11.9,6.9
2022,6,1,00:10,UTC,8,1015,-,93,0,-1,9.1,8,17190,191,10.6,6.6
2022,6,1,00:20,UTC,8,1015.1,-,92,0,-1,9.2,8,27260,192,11.2,6.8
2022,6,1,00:30,UTC,7,1015.2,-,91,0,-1,9.3,7.9,30400,193,11.4,6.6
2022,6,1,00:40,UTC,7,1015.2,-,91,0,-1,9.2,7.8,39230,185,10,5.4
2022,6,1,00:50,UTC,8,1015.2,-,92,0,-1,9.2,7.9,39710,178,9.9,5.7
2022,6,1,01:00,UTC,8,1015.2,0,91,0,-1,9.4,8.1,40570,178,10.7,7
2022,6,1,01:10,UTC,8,1015.2,-,90,0,-1,9.6,8.1,39600,179,10.7,6.7
2022,6,1,01:20,UTC,8,1015.3,-,89,0,-1,9.7,8,47480,179,11.6,7
2022,6,1,01:30,UTC,7,1015.4,-,89,0,-1,9.8,8,45300,181,11.8,7.5
2022,6,1,01:40,UTC,7,1015.5,-,90,0,-1,9.7,8,46730,180,11,6.6
2022,6,1,01:50,UTC,7,1015.6,-,89,0,-1,9.7,7.9,43770,182,12.3,6.9
2022,6,1,02:00,UTC,8,1015.6,0,89,0,-1,9.7,8,39000,183,12.8,7.5
2022,6,1,02:10,UTC,8,1015.8,-,90,0,-1,9.7,8.1,38670,183,12.3,6.7
2022,6,1,02:20,UTC,8,1015.8,-,89,0,-1,9.6,7.9,43550,182,12.6,7.1
2022,6,1,02:30,UTC,7,1015.8,-,89,0,-1,9.7,7.9,46040,179,11.5,7.1
2022,6,1,02:40,UTC,7,1015.9,-,89,0,-1,9.7,7.8,43700,180,12.2,7.7
2022,6,1,02:50,UTC,8,1016.1,-,88,0,-1,9.7,7.7,50000,182,12.8,7.1
2022,6,1,03:00,UTC,8,1016.3,0,88,0,-1,9.6,7.7,38620,182,11.9,7
2022,6,1,03:10,UTC,8,1016.4,-,88,0,-1,9.7,7.7,35790,180,10.7,7.2
2022,6,1,03:20,UTC,8,1016.4,-,88,0,-1,9.7,7.8,48900,178,10.7,6.8
2022,6,1,03:30,UTC,7,1016.5,-,88,0,-1,9.7,7.7,50000,176,9.6,6.3
2022,6,1,03:40,UTC,7,1016.5,-,88,0,-1,9.6,7.7,38360,175,10.8,6.4
2022,6,1,03:50,UTC,8,1016.6,-,89,0,-1,9.5,7.8,47030,167,9.3,6.1
2022,6,1,04:00,UTC,8,1016.7,0,89,0,-1,9.4,7.7,43530,167,9.6,6.6
2022,6,1,04:10,UTC,8,1016.9,-,89,0,-1,9.5,7.7,46390,168,9.1,5.2
2022,6,1,04:20,UTC,7,1017,-,88,0,-1,9.7,7.8,36740,167,8.7,5.3
2022,6,1,04:30,UTC,7,1017.1,-,88,0,-1,9.7,7.9,38800,169,10.3,5.9
2022,6,1,04:40,UTC,7,1017.1,-,87,0,-1,9.9,7.9,35520,172,8.1,5.3
2022,6,1,04:50,UTC,7,1017.2,-,86,0,-1,9.9,7.6,40500,169,8.1,5.6
2022,6,1,05:00,UTC,7,1017.3,0,85,0,-1,10.1,7.7,40200,171,7.5,4.9
2022,6,1,05:10,UTC,7,1017.4,-,85,0,-1,10.1,7.8,35340,168,8.7,5.1
2022,6,1,05:20,UTC,7,1017.4,-,85,0,-1,10.4,8,37010,171,7.6,4.8
2022,6,1,05:30,UTC,7,1017.5,-,83,0,-1,10.4,7.7,33830,170,8.3,4.9
2022,6,1,05:40,UTC,7,1017.5,-,82,0,-1,10.8,7.9,47330,171,9.3,5.8
2022,6,1,05:50,UTC,7,1017.6,-,80,0,-1,11.4,8.1,43990,164,7.6,4.9
2022,6,1,06:00,UTC,3,1017.6,0,75,0,-1,11.9,7.6,32360,164,8.4,5.4
2022,6,1,06:10,UTC,1,1017.5,-,76,0,-1,12.2,8.1,29880,165,9.7,5.7
2022,6,1,06:20,UTC,1,1017.6,-,77,0,-1,12.6,8.6,36290,171,8.7,5.5
2022,6,1,06:30,UTC,0,1017.6,-,75,0,-1,12.6,8.3,35090,169,8.1,5.3
2022,6,1,06:40,UTC,0,1017.7,-,73,0,-1,12.7,8,32510,168,8.1,6
2022,6,1,06:50,UTC,0,1017.8,-,73,0,-1,12.9,8.2,35940,171,8.6,5.6
2022,6,1,07:00,UTC,0,1017.9,0,72,0,-1,13,8.1,41700,162,8.3,5.1
2022,6,1,07:10,UTC,0,1018.1,-,71,0,-1,13.1,8,34060,171,9.8,7
2022,6,1,07:20,UTC,0,1018,-,71,0,-1,13.4,8.3,30870,175,8.8,6.2
2022,6,1,07:30,UTC,0,1018.1,-,67,0,-1,14.4,8.4,36970,167,8.8,4.5
2022,6,1,07:40,UTC,0,1018.3,-,67,0,-1,13.8,7.7,31980,161,8.3,5.8
2022,6,1,07:50,UTC,0,1018.5,-,68,0,-1,13.9,8,42450,159,8.3,5.6
2022,6,1,08:00,UTC,0,1018.6,0,67,0,-1,14.2,8.3,35030,159,7.8,5.2
2022,6,1,08:10,UTC,0,1018.8,-,63,0,-1,14.8,7.9,38470,157,9,5.1
